t,x,analytic,simulated
0,92.7,7.64064e-08,0
0,93,7.24599e-08,0
0,93.3,6.87172e-08,0
0,93.6,6.51679e-08,0
0,93.9,6.18019e-08,0
0,94.2,5.86098e-08,0
0,94.5,5.55825e-08,0
0,94.8,5.27116e-08,0
0,95.1,4.9989e-08,0
0,95.4,4.7407e-08,0
0,95.7,4.49583e-08,0
0,96,4.26362e-08,0
0,96.3,4.0434e-08,0
0,96.6,3.83455e-08,0
0,96.9,3.63649e-08,0
0,97.2,3.44866e-08,0
0,97.5,3.27053e-08,0
0,97.8,3.10161e-08,0
0,98.1,2.9414e-08,0
0,98.4,2.78948e-08,0
0,98.7,2.6454e-08,0
0,99,2.50876e-08,0
0,99.3,2.37918e-08,0
0,99.6,2.25629e-08,0
0,99.9,2.13975e-08,0
0.1,0,1,1
0.1,0.3,0.948349,0.89763
0.1,0.6,0.899365,0.79898
0.1,0.9,0.852912,0.704916
0.1,1.2,0.808858,0.616225
0.1,1.5,0.767079,0.533566
0.1,1.8,0.727459,0.457452
0.1,2.1,0.689885,0.388226
0.1,2.4,0.654251,0.326054
0.1,2.7,0.620458,0.270928
0.1,3,0.588411,0.222681
0.1,3.3,0.558019,0.181006
0.1,3.6,0.529196,0.145481
0.1,3.9,0.501862,0.115598
0.1,4.2,0.475941,0.0907964
0.1,4.5,0.451358,0.0704861
0.1,4.8,0.428044,0.0540763
0.1,5.1,0.405935,0.0409956
0.1,5.4,0.384968,0.0307084
0.1,5.7,0.365084,0.0227266
0.1,6,0.346227,0.0166166
0.1,6.3,0.328344,0.012002
0.1,6.6,0.311385,0.00856357
0.1,6.9,0.295301,0.00603567
0.1,7.2,0.280049,0.00420198
0.1,7.5,0.265584,0.00288955
0.1,7.8,0.251866,0.00196268
0.1,8.1,0.238857,0.00131675
0.1,8.4,0.22652,0.000872556
0.1,8.7,0.214819,0.000571108
0.1,9,0.203724,0.000369215
0.1,9.3,0.193201,0.000235767
0.1,9.6,0.183222,0.000148707
0.1,9.9,0.173758,9.26481e-05
0.1,10.2,0.164784,5.70169e-05
0.1,10.5,0.156272,3.46613e-05
0.1,10.8,0.148201,2.08147e-05
0.1,11.1,0.140546,1.23479e-05
0.1,11.4,0.133287,7.2365e-06
0.1,11.7,0.126402,4.18976e-06
0.1,12,0.119873,2.39658e-06
0.1,12.3,0.113682,1.35442e-06
0.1,12.6,0.10781,7.56295e-07
0.1,12.9,0.102241,4.17276e-07
0.1,13.2,0.0969604,2.27493e-07
0.1,13.5,0.0919523,1.22559e-07
0.1,13.8,0.0872028,6.52489e-08
0.1,14.1,0.0826987,3.43301e-08
0.1,14.4,0.0784272,1.78514e-08
0.1,14.7,0.0743763,9.17451e-09
0.1,15,0.0705347,4.66049e-09
0.1,15.3,0.0668915,2.34013e-09
0.1,15.6,0.0634365,1.16153e-09
0.1,15.9,0.0601599,5.69935e-10
0.1,16.2,0.0570526,2.7647e-10
0.1,16.5,0.0541057,1.32594e-10
0.1,16.8,0.0513111,6.28743e-11
0.1,17.1,0.0486608,2.94796e-11
0.1,17.4,0.0461474,1.36676e-11
0.1,17.7,0.0437638,6.2663e-12
0.1,18,0.0415034,2.84119e-12
0.1,18.3,0.0393597,1.27404e-12
0.1,18.6,0.0373267,5.65053e-13
0.1,18.9,0.0353987,2.47878e-13
0.1,19.2,0.0335703,1.07561e-13
0.1,19.5,0.0318364,4.61705e-14
0.1,19.8,0.030192,1.96061e-14
0.1,20.1,0.0286325,8.23686e-15
0.1,20.4,0.0271536,3.42372e-15
0.1,20.7,0.0257511,1.40808e-15
0.1,21,0.024421,5.73019e-16
0.1,21.3,0.0231597,2.30756e-16
0.1,21.6,0.0219634,9.19603e-17
0.1,21.9,0.020829,3.62691e-17
0.1,22.2,0.0197531,1.41575e-17
0.1,22.5,0.0187329,5.46982e-18
0.1,22.8,0.0177653,2.0918e-18
0.1,23.1,0.0168477,7.91868e-19
0.1,23.4,0.0159775,2.96752e-19
0.1,23.7,0.0151522,1.10095e-19
0.1,24,0.0143696,4.04387e-20
0.1,24.3,0.0136274,1.47064e-20
0.1,24.6,0.0129235,5.29564e-21
0.1,24.9,0.012256,1.88824e-21
0.1,25.2,0.011623,6.66722e-22
0.1,25.5,0.0110226,2.33133e-22
