threshold,cv,seed,readout_pos,prec_zone_width,time,num_threads
0.01,0.03,67,2.44848,1.22484,1123.98,120
0.01,0.03,68,2.44848,1.36527,1172.04,120
0.01,0.03,69,2.45455,1.585,1091.44,120
0.01,0.03,70,2.48182,1.71484,968.617,120
0.01,0.03,71,2.54242,1.49023,933.765,120
0.01,0.03,72,2.6303,1.52232,1058.7,120
0.01,0.03,73,2.26061,1.35696,1115.9,120
0.01,0.03,74,2.36364,1.67196,904.074,120
0.01,0.03,75,2.40303,1.39361,998.037,120
0.01,0.03,76,2.44848,2.23192,1149.89,120
0.01,0.03,77,2.55152,1.5286,984.768,120
0.01,0.03,78,2.54545,1.58293,964.735,120
0.01,0.03,79,2.45758,1.36941,1236.71,120
0.01,0.03,80,2.3697,1.39953,886.709,120
0.01,0.03,81,2.33939,1.34125,934.67,120
0.01,0.03,82,2.31212,1.25147,1036.72,120
0.01,0.03,83,2.54242,1.3299,1053.79,120
0.01,0.03,84,2.49394,1.28339,895.311,120
0.01,0.03,85,2.44545,1.47293,888.517,120
0.01,0.03,86,2.48485,1.44687,990.69,120
0.01,0.03,87,2.50606,1.39663,898.668,120
0.01,0.03,88,2.36667,1.36053,1164.43,120
0.01,0.03,89,2.59697,1.53173,928.792,120
0.01,0.03,90,2.46667,1.53458,1116.61,120
0.01,0.03,91,2.48182,1.33925,1055.74,120
0.01,0.03,92,2.55758,1.57119,1117.1,120
0.01,0.03,93,2.47576,1.5303,897.153,120
0.01,0.03,94,2.49394,1.41584,1131.91,120
0.01,0.03,95,2.44848,1.63127,958.033,120
0.01,0.03,96,2.48788,31.2028,950.98,120
0.01,0.03,97,2.53939,1.14717,776.04,120
0.01,0.03,98,2.44545,1.25533,1056.29,120
0.01,0.03,99,2.30606,1.44225,1043.17,120
0.01,0.07,0,2.27576,1.24924,893.854,120
0.01,0.07,1,2.27273,1.41259,947.167,120
0.01,0.07,2,2.34545,1.05145,1090.64,120
0.01,0.07,3,2.27273,1.47179,880.689,120
0.01,0.07,4,2.16061,1.45115,1291.76,120
0.01,0.07,5,2.52424,1.47813,871.586,120
0.01,0.07,6,2.45152,1.48218,1162.47,120
0.01,0.07,7,2.40909,1.75216,929.968,120
0.01,0.07,8,2.36667,24.7577,906.538,120
0.01,0.07,9,2.37273,1.38816,1156.75,120
0.01,0.07,10,2.39091,1.48435,1052.08,120
0.01,0.07,11,2.29394,1.51667,1068.31,120
0.01,0.07,12,2.47576,1.32326,1069.19,120
0.01,0.07,13,2.42121,1.40187,1002.69,120
0.01,0.07,14,2.55152,1.67251,1062.07,120
0.01,0.07,15,2.54545,1.20451,911.509,120
