thresh_cv,grad_cv,seed,readout_pos,time,num_threads
0.01,0.1,13,-3.70339,416.991,32
0.01,0.1,1,-3.70339,417.023,32
0.01,0.1,26,-3.70339,417.242,32
0.01,0.1,3,-3.70339,417.266,32
0.01,0.1,10,-3.70339,417.372,32
0.01,0.1,18,-3.70339,427.318,32
0.01,0.1,0,-3.70339,498.723,32
0.01,0.3,9,-4.00847,417.416,32
0.01,0.3,31,-3.87288,417.537,32
0.01,0.3,15,-4.00847,417.905,32
0.01,0.3,4,-3.72881,417.958,32
0.01,0.3,26,-3.74576,418.231,32
0.01,0.3,3,-3.9322,418.446,32
0.01,0.3,14,-3.88983,418.696,32
0.01,0.3,27,-3.61017,418.762,32
0.01,0.3,23,-3.83898,418.901,32
0.01,0.3,29,-3.77966,418.948,32
0.01,0.3,24,-3.91525,419.059,32
0.01,0.3,10,-3.83898,419.085,32
0.01,0.3,7,-3.72881,419.139,32
0.01,0.3,12,-3.74576,419.176,32
0.01,0.3,17,-3.83898,419.243,32
0.01,0.3,5,-3.74576,419.298,32
0.01,0.3,30,-4.18644,419.327,32
0.01,0.3,6,-3.83898,419.423,32
0.01,0.3,1,-3.87288,419.541,32
0.01,0.3,21,-4.0678,419.574,32
0.01,0.3,22,-3.84746,419.678,32
0.01,0.3,25,-3.66102,419.716,32
0.01,0.3,13,-3.95763,419.773,32
0.01,0.3,19,-3.79661,419.815,32
0.01,0.3,2,-3.75424,419.871,32
0.01,0.3,11,-3.83898,419.934,32
0.01,0.3,20,-3.9322,420.115,32
0.01,0.3,16,-3.74576,420.209,32
0.01,0.3,8,-3.61017,420.445,32
0.01,0.3,28,-3.74576,420.495,32
0.01,0.3,18,-3.95763,432.065,32
0.01,0.3,0,-3.65254,508.913,32
0.01,0.7,28,-4.23729,419.321,32
0.01,0.7,17,-5.22881,419.52,32
0.01,0.7,14,-5.12712,419.662,32
0.01,0.7,7,-5.39831,420.043,32
0.01,0.7,26,-5.01695,420.415,32
0.01,0.7,19,-4.26271,420.59,32
0.01,0.7,9,-4.17797,420.846,32
0.01,0.7,20,-4.64407,420.928,32
0.01,0.7,23,-4.81356,420.967,32
0.01,0.7,15,-4.60169,421.147,32
0.01,0.7,24,-5.04237,421.192,32
0.01,0.7,29,-4.42373,421.302,32
0.01,0.7,5,-4.73729,421.351,32
0.01,0.7,22,-5,421.423,32
0.01,0.7,27,-4.60169,421.494,32
0.01,0.7,2,-4.81356,421.549,32
0.01,0.7,3,-4.55085,421.59,32
0.01,0.7,31,-4.88983,421.645,32
0.01,0.7,4,-4.89831,421.712,32
0.01,0.7,8,-4.55085,421.844,32
0.01,0.7,25,-4.31356,421.881,32
0.01,0.7,30,-4.73729,422.033,32
0.01,0.7,16,-4.98305,422.155,32
0.01,0.7,21,-5.08475,422.275,32
0.01,0.7,6,-5.09322,422.337,32
0.01,0.7,12,-5.07627,422.402,32
0.01,0.7,13,-4.64407,422.457,32
0.01,0.7,1,-4.68644,422.631,32
0.01,0.7,11,-4.83898,422.663,32
0.01,0.7,10,-4.94068,422.7,32
0.01,0.7,18,-4.65254,433.88,32
0.01,0.7,0,-4.78814,510.778,32
0.01,1,31,-6.38136,420.542,32
0.01,1,29,-5.78814,420.66,32
0.01,1,4,-6.23729,420.748,32
0.01,1,16,-6.07627,421.126,32
0.01,1,25,-5.54237,421.54,32
0.01,1,27,-6.07627,421.59,32
0.01,1,19,-5.72881,421.859,32
0.01,1,30,-4.88983,421.969,32
0.01,1,28,-5.33051,421.964,32
0.01,1,6,-5.77966,422.019,32
0.01,1,3,-5.62712,422.143,32
0.01,1,17,-5.48305,422.185,32
0.01,1,9,-5.76271,422.398,32
0.01,1,14,-5.92373,422.512,32
0.01,1,24,-5.70339,422.552,32
0.01,1,7,-5.88983,422.6,32
0.01,1,21,-5.37288,422.721,32
0.01,1,22,-4.98305,422.892,32
0.01,1,12,-6.30508,423.149,32
0.01,1,26,-6.55932,423.222,32
0.01,1,20,-5.78814,423.284,32
0.01,1,15,-6.00847,423.299,32
0.01,1,8,-5.82203,423.397,32
0.01,1,1,-5.79661,423.43,32
0.01,1,11,-6.87288,423.475,32
0.01,1,2,-5.82203,423.541,32
0.01,1,5,-6.25424,423.612,32
0.01,1,13,-6.19492,423.684,32
0.01,1,10,-6.16102,423.867,32
0.01,1,23,-6.24576,424.287,32
0.01,1,18,-5.98305,433.647,32
0.01,1,0,-5.65254,508.393,32
0.1,0.01,27,-3.70339,418.328,32
0.1,0.01,24,-3.70339,419.277,32
0.1,0.01,28,-3.69492,419.403,32
0.1,0.01,3,-3.70339,419.515,32
0.1,0.01,7,-3.70339,419.722,32
0.1,0.01,4,-3.74576,419.895,32
0.1,0.01,20,-3.65254,419.965,32
0.1,0.01,26,-3.74576,420.431,32
0.1,0.01,31,-3.77966,420.686,32
0.1,0.01,14,-3.65254,420.751,32
0.1,0.01,22,-3.73729,420.805,32
0.1,0.01,23,-3.74576,420.941,32
0.1,0.01,16,-3.79661,421.025,32
0.1,0.01,11,-3.65254,421.092,32
0.1,0.01,29,-3.69492,421.131,32
0.1,0.01,5,-3.74576,421.208,32
0.1,0.01,25,-3.69492,421.249,32
0.1,0.01,17,-3.74576,421.327,32
0.1,0.01,15,-3.74576,421.427,32
0.1,0.01,19,-3.69492,421.502,32
0.1,0.01,12,-3.61017,421.729,32
0.1,0.01,2,-3.73729,421.767,32
0.1,0.01,13,-3.70339,421.8,32
0.1,0.01,30,-3.65254,421.842,32
0.1,0.01,1,-3.70339,421.904,32
0.1,0.01,8,-3.65254,422.113,32
0.1,0.01,21,-3.70339,422.155,32
0.1,0.01,10,-3.65254,422.204,32
0.1,0.01,6,-3.65254,422.342,32
0.1,0.01,9,-3.74576,422.443,32
0.1,0.01,18,-3.73729,432.364,32
0.1,0.01,0,-3.69492,504.777,32
0.1,0.05,24,-3.69492,415.732,32
0.1,0.05,28,-3.75424,416.767,32
0.1,0.05,14,-3.70339,417.019,32
0.1,0.05,29,-3.69492,417.254,32
0.1,0.05,4,-3.70339,417.687,32
0.1,0.05,17,-3.69492,417.705,32
0.1,0.05,19,-3.70339,417.785,32
0.1,0.05,22,-3.69492,417.812,32
0.1,0.05,31,-3.73729,417.903,32
0.1,0.05,23,-3.65254,418.109,32
0.1,0.05,7,-3.74576,418.215,32
0.1,0.05,15,-3.70339,418.388,32
0.1,0.05,25,-3.69492,418.493,32
0.1,0.05,26,-3.70339,418.617,32
0.1,0.05,3,-3.65254,418.674,32
